linker,https://learnxinyminutes.com/docs/linker/,linker
make,https://learnxinyminutes.com/docs/make/,make
Mercurial,https://learnxinyminutes.com/docs/mercurial/,mercurial
messagepack,https://learnxinyminutes.com/docs/messagepack/,messagepack
OpenCV,https://learnxinyminutes.com/docs/opencv/,opencv
OpenGL,https://learnxinyminutes.com/docs/opengl/,opengl
p5,https://learnxinyminutes.com/docs/p5/,
powershell,https://learnxinyminutes.com/docs/powershell/,powershell
PyQT,https://learnxinyminutes.com/docs/pyqt/,pyqt
Qt Framework,https://learnxinyminutes.com/docs/qt/,qt;framework
ruby ecosystem,https://learnxinyminutes.com/docs/ruby-ecosystem/,ruby;ecosystem
ShutIt,https://learnxinyminutes.com/docs/shutit/,shutit
Statistical Computing with Python,https://learnxinyminutes.com/docs/pythonstatcomp/,statistical;computing;python
tcsh,https://learnxinyminutes.com/docs/tcsh/,tcsh
tmux,https://learnxinyminutes.com/docs/tmux/,tmux
vim,https://learnxinyminutes.com/docs/vim/,vim
zfs,https://learnxinyminutes.com/docs/zfs/,zfs
